gameID,teamCountry,opponentTeam,location,date
M-USA-CAN-2022,USA,Canada,Beijing National Indoor Stadium,2022-02-12
M-ROC-CZE-2022,ROC,Czech Republic,Beijing National Indoor Stadium,2022-02-09
M-SWE-LAT-2022,Sweden,Latvia,Wukesong Arena,2022-02-10
M-FIN-SVK-2022,Finland,Slovakia,Beijing National Indoor Stadium,2022-02-10
M-CAN-GER-2022,Canada,Germany,Wukesong Arena,2022-02-10
M-USA-GER-2022,USA,Germany,Beijing National Indoor Stadium,2022-02-13
M-SUI-DEN-2022,Switzerland,Denmark,Wukesong Arena,2022-02-11
M-SVK-GER-2022,Slovakia,Germany,Beijing National Indoor Stadium,2022-02-16
M-SWE-CAN-2022,Sweden,Canada,Wukesong Arena,2022-02-16
M-FIN-ROC-2022,Finland,ROC,Beijing National Indoor Stadium,2022-02-20
M-SVK-SWE-2022,Slovakia,Sweden,Beijing National Indoor Stadium,2022-02-19
W-CAN-USA-2022,Canada,USA,Wukesong Arena,2022-02-16
W-FIN-SUI-2022,Finland,Switzerland,Wukesong Arena,2022-02-16
W-USA-ROC-2022,USA,ROC,Wukesong Arena,2022-02-07
W-CAN-FIN-2022,Canada,Finland,Wukesong Arena,2022-02-05
W-JPN-CZE-2022,Japan,Czech Republic,Wukesong Arena,2022-02-10
W-SUI-ROC-2022,Switzerland,ROC,Wukesong Arena,2022-02-12
W-SWE-JPN-2022,Sweden,Japan,Wukesong Arena,2022-02-07
W-USA-CAN-2022,USA,Canada,Wukesong Arena,2022-02-08
W-FIN-JPN-2022,Finland,Japan,Wukesong Arena,2022-02-11

