Name,Group,Country,Position,GP,G,A,PTS,PIM,PPG
Aaron Ness,A,USA,Defence,1,0,0,0,0,0
Andy Miele,A,USA,Forward,1,1,1,2,0,0
Ben Meyers,A,USA,Forward,1,1,0,1,0,0
Brendan Brisson,A,USA,Forward,1,1,0,1,0,0
Brian Cooper,A,USA,Defence,1,0,0,0,0,0
Brian O'Neill,A,USA,Forward,1,0,1,1,0,0
Brock Faber,A,USA,Defence,1,0,0,0,0,0
David Warsofsky,A,USA,Defence,1,0,0,0,0,0
Jake Sanderson,A,USA,Defence,1,0,1,1,0,0
Justin Abdelkader,A,USA,Forward,0,0,0,0,0,0
Kenny Agostino,A,USA,Forward,1,1,0,1,2,0
Marc McLaughlin,A,USA,Forward,1,0,0,0,0,0
Matt Knies,A,USA,Forward,1,0,0,0,2,0
Matty Beniers,A,USA,Forward,1,0,0,0,0,0
Nathan Smith,A,USA,Forward,1,0,0,0,0,0
Nick Abruzzese,A,USA,Forward,1,0,0,0,0,0
Nick Perbix,A,USA,Defence,1,0,0,0,0,0
Nick Shore,A,USA,Forward,1,0,1,1,0,0
Noah Cates,A,USA,Forward,1,0,0,0,0,0
Sean Farrell,A,USA,Forward,1,0,1,1,0,0
Steve Kampfer,A,USA,Defence,1,0,1,1,2,0
Adam Cracknell,A,Canada,Forward,5,0,1,1,0,0
Adam Tambellini,A,Canada,Forward,5,3,4,7,0,1
Alex Grant,A,Canada,Defence,3,1,1,2,2,0
Ben Street,A,Canada,Forward,4,2,1,3,2,0
Corban Knight,A,Canada,Forward,5,2,1,3,0,1
Daniel Winnik,A,Canada,Forward,5,1,1,2,6,0
David Desharnais,A,Canada,Forward,5,0,1,1,0,0
Eric O’Dell,A,Canada,Forward,5,2,3,5,2,0
Eric Staal,A,Canada,Forward,5,1,3,4,4,0
Jack McBain,A,Canada,Forward,5,1,1,2,2,1
Jason Demers,A,Canada,Defence,5,0,2,2,0,0
Jordan Weal,A,Canada,Forward,5,3,2,5,6,2
Josh Ho-Sang,A,Canada,Forward,5,0,3,3,2,0
Kent Johnson,A,Canada,Forward,5,1,4,5,0,0
Landon Ferraro,A,Canada,Forward,1,0,0,0,0,0
Mark Barberio,A,Canada,Defence,5,0,0,0,2,0
Mason McTavish,A,Canada,Forward,5,0,1,1,2,0
Mat Robinson,A,Canada,Defence,5,1,0,1,0,0
Maxim Noreau,A,Canada,Defence,5,1,3,4,0,1
Morgan Ellis,A,Canada,Defence,2,0,0,0,5,0
Owen Power,A,Canada,Defence,5,0,1,1,2,0
Tyler Wotherspoon,A,Canada,Defence,5,0,2,2,2,0
Daniel Pietta,A,Germany,Forward,1,0,0,0,0,0
David Wolf,A,Germany,Forward,1,0,0,0,0,0
Dominik Bittner,A,Germany,Defence,1,0,0,0,0,0
Dominik Kahun,A,Germany,Forward,1,0,0,0,0,0
Fabio Wagner,A,Germany,Defence,1,0,0,0,0,0
Frederik Tiffels,A,Germany,Forward,1,0,0,0,0,0
Jonas Muller,A,Germany,Defence,1,0,0,0,0,0
Konrad Abeltshauser,A,Germany,Defence,1,0,0,0,2,0
Korbinian Holzer,A,Germany,Defence,1,0,0,0,0,0
Lean Bergmann,A,Germany,Forward,1,0,0,0,0,0
Leonhard Pfoderl,A,Germany,Forward,1,0,1,1,0,0
Marcel Brandt,A,Germany,Defence,1,0,0,0,0,0
Marcel Noebels,A,Germany,Forward,1,0,0,0,0,0
Marco Nowak,A,Germany,Defence,1,0,0,0,0,0
Matthias Plachta,A,Germany,Forward,1,0,0,0,0,0
Moritz Muller,A,Germany,Defence,1,0,0,0,0,0
Nicolas Krämmer,A,Germany,Forward,1,0,0,0,0,0
Patrick Hager,A,Germany,Forward,1,0,0,0,0,0
Stefan Loibl,A,Germany,Forward,1,0,0,0,0,0
Tobias Rieder,A,Germany,Forward,1,1,0,1,0,0
Tom Kühnhackl,A,Germany,Forward,1,0,0,0,0,0
Yasin Ehliz,A,Germany,Forward,1,0,0,0,2,0
Brandon Yip,A,China,Forward,2,0,0,0,4,0
Chen Zimeng,A,China,Defence,2,0,0,0,0,0
Cory Kane,A,China,Forward,2,2,0,2,4,1
Denis Osipov,A,China,Defence,2,0,0,0,2,0
Ethan Werek,A,China,Forward,2,0,0,0,2,0
Guo Jianing,A,China,Forward,0,0,0,0,0,0
Jake Chelios,A,China,Defence,2,0,1,1,2,0
Jason Fram,A,China,Defence,2,0,0,0,0,0
Luke Lockhart,A,China,Forward,2,0,1,1,0,0
Parker Foo,A,China,Forward,2,0,0,0,2,0
Rudi Ying,A,China,Forward,2,0,0,0,2,0
Ryan Sproul,A,China,Defence,2,0,0,0,0,0
Spencer Foo,A,China,Forward,2,0,0,0,2,0
Tyler Wong,A,China,Forward,2,0,0,0,4,0
Xiang Xudong,A,China,Forward,1,0,0,0,0,0
Yan Juncheng,A,China,Forward,2,0,0,0,0,0
Yan Ruinan,A,China,Defence,2,0,0,0,0,0
Zach Yuen,A,China,Defence,2,0,0,0,0,0
Zhang Pengfei,A,China,Defence,1,0,0,0,0,0
Zhang Zesen,A,China,Forward,2,0,0,0,2,0
Zheng Enlai,A,China,Defence,2,0,0,0,0,0
Zhong Wei,A,China,Forward,2,0,0,0,0,0
